MANDT	BUKRS	WERKS	MATNR	MENGE	MEINS	BLDAT	BUDAT	BKTXT
100	1000	DE03	MAT0	300	L	08.05.2026	08.05.2026	Petrol
100	1000	IN01	MAT1	1772	L	25.04.2026	25.04.2026	Petrol
100	1000	UNKNOWN	MAT2	2226	m3	24.05.2026	24.05.2026	Natural Gas
100	1000	IN02	MAT3	3020	L	21.05.2026	21.05.2026	Diesel
100	1000	IN01	MAT4	244	L	19.05.2026	19.05.2026	Diesel
100	1000	DE03	MAT5	3892	m3	22.05.2026	22.05.2026	Natural Gas
100	1000	UNKNOWN	MAT6	3293	L	13.05.2026	13.05.2026	Diesel
100	1000	IN01	MAT7	3548	L	13.05.2026	13.05.2026	Diesel
100	1000	UNKNOWN	MAT8	3390	m3	05.05.2026	05.05.2026	Natural Gas
100	1000	UNKNOWN	MAT9	4793	L	08.05.2026	08.05.2026	Diesel
100	1000	IN02	MAT10	1629	L	26.04.2026	26.04.2026	Diesel
100	1000	DE03	MAT11	1072	L	13.05.2026	13.05.2026	Diesel
100	1000	IN01	MAT12	3793	L	04.05.2026	04.05.2026	Petrol
100	1000	DE03	MAT13	4768	m3	30.04.2026	30.04.2026	Natural Gas
100	1000	IN01	MAT14	1984	L	10.05.2026	10.05.2026	Petrol
100	1000	DE03	MAT15	3958	m3	27.04.2026	27.04.2026	Natural Gas
100	1000	UNKNOWN	MAT16	1993	L	19.05.2026	19.05.2026	Diesel
100	1000	DE03	MAT17	4654	m3	03.05.2026	03.05.2026	Natural Gas
100	1000	UNKNOWN	MAT18	4401	L	04.05.2026	04.05.2026	Diesel
100	1000	UNKNOWN	MAT19	4772	L	19.05.2026	19.05.2026	Petrol
100	1000	DE03	MAT20	2557	m3	22.05.2026	22.05.2026	Natural Gas
100	1000	IN02	MAT21	560	L	25.04.2026	25.04.2026	Petrol
100	1000	IN01	MAT22	2521	L	16.05.2026	16.05.2026	Diesel
100	1000	DE03	MAT23	821	L	13.05.2026	13.05.2026	Diesel
100	1000	IN02	MAT24	366	m3	24.05.2026	24.05.2026	Natural Gas
100	1000	UNKNOWN	MAT25	4380	m3	19.05.2026	19.05.2026	Natural Gas
100	1000	UNKNOWN	MAT26	552	L	27.04.2026	27.04.2026	Diesel
100	1000	DE03	MAT27	3383	L	17.05.2026	17.05.2026	Diesel
100	1000	IN01	MAT28	1300	L	12.05.2026	12.05.2026	Petrol
100	1000	IN02	MAT29	320	m3	25.04.2026	25.04.2026	Natural Gas
100	1000	UNKNOWN	MAT30	1686	m3	11.05.2026	11.05.2026	Natural Gas
100	1000	IN02	MAT31	3646	L	10.05.2026	10.05.2026	Diesel
100	1000	DE03	MAT32	818	L	24.05.2026	24.05.2026	Diesel
100	1000	UNKNOWN	MAT33	1630	L	29.04.2026	29.04.2026	Petrol
100	1000	UNKNOWN	MAT34	2643	L	29.04.2026	29.04.2026	Petrol
100	1000	DE03	MAT35	888	L	12.05.2026	12.05.2026	Diesel
100	1000	UNKNOWN	MAT36	4026	L	28.04.2026	28.04.2026	Petrol
100	1000	IN01	MAT37	2720	L	04.05.2026	04.05.2026	Petrol
100	1000	UNKNOWN	MAT38	116	m3	16.05.2026	16.05.2026	Natural Gas
100	1000	UNKNOWN	MAT39	1738	L	24.05.2026	24.05.2026	Diesel
100	1000	IN01	MAT40	2695	m3	15.05.2026	15.05.2026	Natural Gas
100	1000	IN01	MAT41	1079	m3	23.05.2026	23.05.2026	Natural Gas
100	1000	UNKNOWN	MAT42	644	L	09.05.2026	09.05.2026	Petrol
100	1000	DE03	MAT43	2005	L	21.05.2026	21.05.2026	Petrol
100	1000	IN01	MAT44	1626	L	24.05.2026	24.05.2026	Diesel
100	1000	IN01	MAT45	0	L	03.05.2026	03.05.2026	Diesel
100	1000	DE03	MAT46	4148	m3	30.05.2026	30.05.2026	Natural Gas
100	1000	IN01	MAT47	2117	L	28.04.2026	28.04.2026	Petrol
100	1000	UNKNOWN	MAT48	3469	L	09.05.2026	09.05.2026	Petrol
100	1000	UNKNOWN	MAT49	2357	m3	16.05.2026	16.05.2026	Natural Gas
